domain1,mx1,provider1
@aasml.com,0 aasml.com.,Third Party
@adtpk.com,0 adtpk.com.,Third Party
@gmail.com,30 alt3.gmail-smtp-in.l.google.com. / 10 alt1.gmail-smtp-in.l.google.com. / 40 alt4.gmail-smtp-in.l.google.com. / 20 alt2.gmail-smtp-in.l.google.com. / 5 gmail-smtp-in.l.google.com.,Google
@alfalahclsa.com,1 smtp.google.com.,Google
@alfalahamc.com,0 alfalahamc-com.mail.protection.outlook.com.,Microsoft
 ,,N/A
@alghazitractors.com,10 eu-smtp-inbound-2.mimecast.com.,Third Party
@alghazitractors.com,10 eu-smtp-inbound-2.mimecast.com.,Third Party
@alibuilders.net,10 mx2.hostinger.com. / 5 mx1.hostinger.com.,Third Party
 ,,N/A
 ,,N/A
 ,,N/A
 ,,N/A
 ,,N/A
 ,,N/A
@abl.com,5 mail3.abl.com.,Third Party
@abl.com,5 mail3.abl.com.,Third Party
@abl.com,5 mail3.abl.com.,Third Party
@alliedpaints.com.pk,10 mail.alliedpaints.com.pk.,Third Party
@alliedpaints.com.pk,10 mail.alliedpaints.com.pk.,Third Party
@hotmail.com,2 hotmail-com.olc.protection.outlook.com.,Microsoft
@hotmail.com,2 hotmail-com.olc.protection.outlook.com.,Microsoft
@gmail.com,30 alt3.gmail-smtp-in.l.google.com. / 10 alt1.gmail-smtp-in.l.google.com. / 40 alt4.gmail-smtp-in.l.google.com. / 20 alt2.gmail-smtp-in.l.google.com. / 5 gmail-smtp-in.l.google.com.,Google
@alphatrack.pk,5 mail.alphatrack.pk.,Third Party
@alphatrack.pk,5 mail.alphatrack.pk.,Third Party
@alphatrack.pk,5 mail.alphatrack.pk.,Third Party
 ,,N/A
@altpay.biz,10 mail.altpay.biz.,Third Party
@dummy.com.pk,DOMAIN NON EXIST,N/A
@pk.mail.amadeus.com,10 pk-mail-amadeus-com.mail.protection.outlook.com.,Microsoft
@pk.mail.amadeus.com,10 pk-mail-amadeus-com.mail.protection.outlook.com.,Microsoft
@sgbworld.com,10 ALT4.ASPMX.L.GOOGLE.com. / 5 ALT2.ASPMX.L.GOOGLE.com. / 1 ASPMX.L.GOOGLE.com. / 10 ALT3.ASPMX.L.GOOGLE.com. / 5 ALT1.ASPMX.L.GOOGLE.com.,Google
@amis.com.pk,20 mx2.zoho.com. / 50 mx3.zoho.com. / 10 mx.zoho.com.,Third Party
@hotmail.com,2 hotmail-com.olc.protection.outlook.com.,Microsoft
@apllogistics.com,20 us-smtp-inbound-2.mimecast.com. / 10 us-smtp-inbound-1.mimecast.com.,Third Party
@apllogistics.com,20 us-smtp-inbound-2.mimecast.com. / 10 us-smtp-inbound-1.mimecast.com.,Third Party
@apriljune.com,0 apriljune-com.mail.protection.outlook.com.,Microsoft
@aptma.org.pk,0 mail.aptma.org.pk.,Third Party
@adspl.pk,0 adspl-pk.mail.protection.outlook.com.,Microsoft
@arcoplastics.com,0 mail.arcoplastics.com.,Third Party
@arcoplastics.com,0 mail.arcoplastics.com.,Third Party
@arifhabibltd.com,0 arifhabibltd-com.mail.protection.outlook.com.,Microsoft
@arifhabibltd.com,0 arifhabibltd-com.mail.protection.outlook.com.,Microsoft
@arifhabibltd.com,0 arifhabibltd-com.mail.protection.outlook.com.,Microsoft
@arifhabibltd.com,0 arifhabibltd-com.mail.protection.outlook.com.,Microsoft
@artisticmilliners.com,50 mx3.zoho.com. / 10 mx.zoho.com. / 20 mx2.zoho.com.,Third Party
@upl-ltd.com,30 mailstream-west.mxrecord.io. / 20 mailstream-east.mxrecord.io. / 10 mailstream-central.mxrecord.mx. / 5 mailstream-india-primary.mxrecord.mx.,Third Party
@upl-ltd.com,30 mailstream-west.mxrecord.io. / 20 mailstream-east.mxrecord.io. / 10 mailstream-central.mxrecord.mx. / 5 mailstream-india-primary.mxrecord.mx.,Third Party
 ,,N/A
 ,,N/A
@asiainsurance.com.pk,0 mail.asiainsurance.com.pk.,Third Party
@askaribank.com.pk,10 smtp.askaribank.com.pk. / 40 d157901b.ess.barracudanetworks.com. / 20 smtp2.askaribank.com.pk.,Third Party
@askaribank.com.pk,10 smtp.askaribank.com.pk. / 40 d157901b.ess.barracudanetworks.com. / 20 smtp2.askaribank.com.pk.,Third Party
@askaribank.com.pk,10 smtp.askaribank.com.pk. / 40 d157901b.ess.barracudanetworks.com. / 20 smtp2.askaribank.com.pk.,Third Party
@askaribank.com.pk,10 smtp.askaribank.com.pk. / 40 d157901b.ess.barracudanetworks.com. / 20 smtp2.askaribank.com.pk.,Third Party
@askaribank.com.pk,10 smtp.askaribank.com.pk. / 40 d157901b.ess.barracudanetworks.com. / 20 smtp2.askaribank.com.pk.,Third Party
@askaribank.com.pk,10 smtp.askaribank.com.pk. / 40 d157901b.ess.barracudanetworks.com. / 20 smtp2.askaribank.com.pk.,Third Party
@fccl.com.pk,0 mta2.nayatel.com. / 0 mta.nayatel.com. / 0 mta3.nayatel.com. / 0 mta1.nayatel.com.,Third Party
@awt.com.pk,0 mta1.nayatel.com. / 5 mta2.nayatel.com.,Third Party
@awt.com.pk,0 mta1.nayatel.com. / 5 mta2.nayatel.com.,Third Party
@askarilife.com,10 askarilife-com.mail.eo.outlook.com. / 5 askarilife-com.mail.protection.outlook.com. / 0 askarilife.in.tmes-sg.trendmicro.com.,Microsoft
@askarilife.com,10 askarilife-com.mail.eo.outlook.com. / 5 askarilife-com.mail.protection.outlook.com. / 0 askarilife.in.tmes-sg.trendmicro.com.,Microsoft
@askarilife.com,10 askarilife-com.mail.eo.outlook.com. / 5 askarilife-com.mail.protection.outlook.com. / 0 askarilife.in.tmes-sg.trendmicro.com.,Microsoft
@hassanlimited.com,10 mail.hassanlimited.com.,Third Party
@dawnbread.net,0 fhg.webitech.org.,Third Party
@dawnbread.net,0 fhg.webitech.org.,Third Party
@dawnbread.net,0 fhg.webitech.org.,Third Party
@dawnbread.net,0 fhg.webitech.org.,Third Party
@dawnbread.net,0 fhg.webitech.org.,Third Party
@dawnbread.net,0 fhg.webitech.org.,Third Party
@lhr.atlashonda.com.pk,10 qs4557.pair.com. / 0 atlashonda.in.tmes-sg.trendmicro.com.,Third Party
@lhr.atlashonda.com.pk,10 qs4557.pair.com. / 0 atlashonda.in.tmes-sg.trendmicro.com.,Third Party
@atlas.com.pk,50 qs4245.pair.com.,Third Party
@autosoftdynamics.com,10 mxb-002d2f01.gslb.pphosted.com. / 10 mxa-002d2f01.gslb.pphosted.com.,Third Party
@autosoftdynamics.com,10 mxb-002d2f01.gslb.pphosted.com. / 10 mxa-002d2f01.gslb.pphosted.com.,Third Party
@avari.com,0 avari-com.mail.protection.outlook.com.,Microsoft
@chaiwala.com,10 chaiwala.com.mx.one.com.,Third Party
@chaiwala.com,10 chaiwala.com.mx.one.com.,Third Party
@gmail.com,30 alt3.gmail-smtp-in.l.google.com. / 10 alt1.gmail-smtp-in.l.google.com. / 40 alt4.gmail-smtp-in.l.google.com. / 20 alt2.gmail-smtp-in.l.google.com. / 5 gmail-smtp-in.l.google.com.,Google
@beenergy.co,0 beenergy-co.mail.protection.outlook.com.,Microsoft
@bankalhabib.com,1 mx-202-125-136-101.bankalhabib.com. / 2 mx-117-20-16-131.bankalhabib.com. / 3 smtp03.bankalhabib.com. / 4 smtp04.bankalhabib.com.,Third Party
@bankalhabib.com,1 mx-202-125-136-101.bankalhabib.com. / 2 mx-117-20-16-131.bankalhabib.com. / 3 smtp03.bankalhabib.com. / 4 smtp04.bankalhabib.com.,Third Party
@bankalhabib.com,1 mx-202-125-136-101.bankalhabib.com. / 2 mx-117-20-16-131.bankalhabib.com. / 3 smtp03.bankalhabib.com. / 4 smtp04.bankalhabib.com.,Third Party
@bankalhabib.com,1 mx-202-125-136-101.bankalhabib.com. / 2 mx-117-20-16-131.bankalhabib.com. / 3 smtp03.bankalhabib.com. / 4 smtp04.bankalhabib.com.,Third Party
@bankalhabib.com,1 mx-202-125-136-101.bankalhabib.com. / 2 mx-117-20-16-131.bankalhabib.com. / 3 smtp03.bankalhabib.com. / 4 smtp04.bankalhabib.com.,Third Party
 ,,N/A
@ibm.com,5 mx0a-001b2d05.pphosted.com. / 5 mx0b-001b2d05.pphosted.com.,Third Party
@ibm.com,5 mx0a-001b2d05.pphosted.com. / 5 mx0b-001b2d05.pphosted.com.,Third Party
@ibm.com,5 mx0a-001b2d05.pphosted.com. / 5 mx0b-001b2d05.pphosted.com.,Third Party
@ibm.com,5 mx0a-001b2d05.pphosted.com. / 5 mx0b-001b2d05.pphosted.com.,Third Party
@ibm.com,5 mx0a-001b2d05.pphosted.com. / 5 mx0b-001b2d05.pphosted.com.,Third Party
@ibm.com,5 mx0a-001b2d05.pphosted.com. / 5 mx0b-001b2d05.pphosted.com.,Third Party
@bankalfalah.com,0 bankalfalah-com.mail.protection.outlook.com.,Microsoft
@bankalfalah.com,0 bankalfalah-com.mail.protection.outlook.com.,Microsoft
@bankalfalah.com,0 bankalfalah-com.mail.protection.outlook.com.,Microsoft
@bankalfalah.com,0 bankalfalah-com.mail.protection.outlook.com.,Microsoft
@bankalfalah.com,0 bankalfalah-com.mail.protection.outlook.com.,Microsoft
 ,,N/A
 ,,N/A
 ,,N/A
 ,,N/A
@bankalfalah.com,0 bankalfalah-com.mail.protection.outlook.com.,Microsoft
@bankalfalah.com,0 bankalfalah-com.mail.protection.outlook.com.,Microsoft
@bankalfalah.com,0 bankalfalah-com.mail.protection.outlook.com.,Microsoft
@bankalfalah.com,0 bankalfalah-com.mail.protection.outlook.com.,Microsoft
@bankalfalah.com,0 bankalfalah-com.mail.protection.outlook.com.,Microsoft
@bankalhabib.com,1 mx-202-125-136-101.bankalhabib.com. / 2 mx-117-20-16-131.bankalhabib.com. / 3 smtp03.bankalhabib.com. / 4 smtp04.bankalhabib.com.,Third Party
 ,,N/A
@bankislami.com.pk,10 mail1.bankislami.com.pk. / 100 mail3.bankislami.com.pk. / 20 mail2.bankislami.com.pk.,Third Party
@bankislami.com.pk,10 mail1.bankislami.com.pk. / 100 mail3.bankislami.com.pk. / 20 mail2.bankislami.com.pk.,Third Party
@bankislami.com.pk,10 mail1.bankislami.com.pk. / 100 mail3.bankislami.com.pk. / 20 mail2.bankislami.com.pk.,Third Party
@bankislami.com.pk,10 mail1.bankislami.com.pk. / 100 mail3.bankislami.com.pk. / 20 mail2.bankislami.com.pk.,Third Party
